Model,Type,Accuracy,Macro F1
Logistic_Regression,ML Baseline,0.6928149004146557,0.5889979607983945
Linear_SVM,ML Baseline,0.7022636122629325,0.5786316464658733
Naive_Bayes,ML Baseline,0.7483515736523689,0.6623940839021946
Fine-Tuned_muril,Fine-Tuned Transformer,0.8314186663041262,0.7732786616436216
Fine-Tuned_indic_bert,Fine-Tuned Transformer,0.8143566039018422,0.7528362661905107
Fine-Tuned_mbert,Fine-Tuned Transformer,0.8285636598463735,0.7686469322506335
Fine-Tuned_xlm_roberta,Fine-Tuned Transformer,0.8482767996737135,0.7782347777477735
Base_XLM_RoBERTa,Untrained Base,0.2809462307117123,0.08773084270855444
