Model,Critical Rescue,Irrelevant,Resource Requests,Situational Awareness,Volunteering and Donations
FT_muril,0.0,0.2222222222222222,0.6086956521739131,0.625,0.52
FT_indic_bert,0.0,0.30303030303030304,0.6268656716417911,0.56,0.4482758620689655
FT_xlm_roberta,0.0,0.3157894736842105,0.5663716814159292,0.5,0.2222222222222222
FT_mbert,0.0,0.24242424242424243,0.43902439024390244,0.2413793103448276,0.17142857142857143
Base_XLM_RoBERTa,0.0,0.0,0.0,0.0,0.43795620437956206
Linear_SVM,0.0,0.0,0.0,0.3787878787878788,0.0
Naive_Bayes,0.0,0.0,0.0,0.3787878787878788,0.0
Logistic_Regression,0.0,0.23140495867768596,0.0,0.0,0.0
