Model,Type,Accuracy,Macro Recall,Macro F1
FT_muril,Transformer,0.5420560747663551,0.4102380952380952,0.39518357487922706
FT_indic_bert,Transformer,0.4953271028037383,0.40134523809523814,0.38763436734821194
FT_xlm_roberta,Transformer,0.45794392523364486,0.3495238095238095,0.3208766754644724
FT_mbert,Transformer,0.29906542056074764,0.24564285714285714,0.21885130288830879
Base_XLM_RoBERTa,Untrained Base,0.2803738317757009,0.2,0.08759124087591241
Linear_SVM,ML Baseline,0.2336448598130841,0.2,0.07575757575757576
Naive_Bayes,ML Baseline,0.2336448598130841,0.2,0.07575757575757576
Logistic_Regression,ML Baseline,0.1308411214953271,0.2,0.046280991735537194
