Model,Critical Rescue,Irrelevant,Resource Requests,Situational Awareness,Volunteering and Donations
FT_muril,0.0,0.18181818181818182,0.5217391304347826,0.0,0.23809523809523808
FT_mbert,0.0,0.21621621621621623,0.2222222222222222,0.3958333333333333,0.0
Naive_Bayes,0.08333333333333333,0.06896551724137931,0.10256410256410256,0.2777777777777778,0.2
Logistic_Regression,0.0,0.2696629213483146,0.0,0.24561403508771928,0.0
Linear_SVM,0.0,0.07142857142857142,0.0,0.37606837606837606,0.0
FT_xlm_roberta,0.0,0.205607476635514,0.0,0.17647058823529413,0.0625
Base_XLM_RoBERTa,0.0,0.0,0.0,0.0,0.43795620437956206
FT_indic_bert,0.0,0.2641509433962264,0.0,0.11764705882352941,0.05555555555555555
