Model,Critical Rescue,Irrelevant,Resource Requests,Situational Awareness,Volunteering and Donations
FT_muril,0.0,0.14285714285714285,0.9375,0.0,0.16666666666666666
FT_mbert,0.0,0.2857142857142857,0.15625,0.76,0.0
Naive_Bayes,0.16666666666666666,0.07142857142857142,0.0625,0.4,0.16666666666666666
Logistic_Regression,0.0,0.8571428571428571,0.0,0.28,0.0
Linear_SVM,0.0,0.07142857142857142,0.0,0.88,0.0
FT_xlm_roberta,0.0,0.7857142857142857,0.0,0.12,0.03333333333333333
Base_XLM_RoBERTa,0.0,0.0,0.0,0.0,1.0
FT_indic_bert,0.0,1.0,0.0,0.08,0.03333333333333333
