Model,Type,Accuracy,Macro Recall,Macro F1
FT_muril,Transformer,0.34579439252336447,0.2494047619047619,0.1883305100696405
FT_mbert,Transformer,0.2616822429906542,0.24039285714285716,0.16685435435435433
Naive_Bayes,ML Baseline,0.17757009345794392,0.17345238095238094,0.1465281461833186
Logistic_Regression,ML Baseline,0.17757009345794392,0.2274285714285714,0.10305539128720678
Linear_SVM,ML Baseline,0.21495327102803738,0.19028571428571428,0.08949938949938949
FT_xlm_roberta,Transformer,0.14018691588785046,0.18780952380952382,0.08891561297416163
Base_XLM_RoBERTa,Untrained Base,0.2803738317757009,0.2,0.08759124087591241
FT_indic_bert,Transformer,0.1588785046728972,0.22266666666666665,0.08747071155506228
