Model,Critical Rescue,Irrelevant,Resource Requests,Situational Awareness,Volunteering and Donations
FT_muril,0.9561605906783571,0.7393092105263158,0.6569767441860465,0.777361880521036,0.9022501814662472
FT_xlm_roberta,0.957544993077988,0.7623355263157895,0.7131782945736435,0.7546039826321306,0.9041858214372127
FT_mbert,0.951545916012921,0.7154605263157895,0.6802325581395349,0.7745171432849229,0.9032180014517299
FT_indic_bert,0.9446239040147669,0.765625,0.6201550387596899,0.7520586914208713,0.8937817565932736
Naive_Bayes,0.8098754037840332,0.6685855263157895,0.3798449612403101,0.7081898487797574,0.8504718122429228
Logistic_Regression,0.5911398246423627,0.7245065789473685,0.19186046511627908,0.8543195089085193,0.538349866924752
Linear_SVM,0.5994462390401477,0.4375,0.187984496124031,0.9212456954633927,0.5443987418340188
Base_XLM_RoBERTa,0.0,0.0,0.0,0.0,1.0
