Model,Critical Rescue,Irrelevant,Resource Requests,Situational Awareness,Volunteering and Donations
FT_muril,0.9170170391679575,0.6262626262626263,0.6124661246612466,0.8406055209260909,0.8700419972001866
FT_xlm_roberta,0.9126896855069276,0.6252951096121416,0.6047658175842235,0.8318204324145899,0.871603498542274
FT_mbert,0.9166481440320071,0.6243272335844995,0.5979557069846678,0.8384796174730529,0.8658239591789401
FT_indic_bert,0.9164987687486008,0.5973692653192172,0.5653710247349824,0.8273079140245408,0.8627817353731169
Naive_Bayes,0.7855863921217547,0.5251937984496124,0.421505376344086,0.7780885013982562,0.8015963511972634
Logistic_Regression,0.7297066362859584,0.476473769605192,0.2990936555891239,0.7611552057626892,0.6785605367490088
Linear_SVM,0.7328631875881523,0.42525979216626697,0.28955223880597014,0.7644902776914954,0.6809927360774818
Base_XLM_RoBERTa,0.0,0.0,0.0,0.0,0.43865421354277223
