Model,Type,Accuracy,Macro Recall,Macro F1
FT_muril,Transformer,0.8314186663041262,0.8064117214756006,0.7732786616436216
FT_xlm_roberta,Transformer,0.8257086533886208,0.8183697236073529,0.7692349087320313
FT_mbert,Transformer,0.8285636598463735,0.8049948290409796,0.7686469322506335
FT_indic_bert,Transformer,0.8167357759499694,0.7952488781577204,0.7538657416400916
Naive_Bayes,ML Baseline,0.7483515736523689,0.6833935104725626,0.6623940839021946
Logistic_Regression,ML Baseline,0.6928149004146557,0.5800352489078563,0.5889979607983944
Linear_SVM,ML Baseline,0.7022636122629325,0.538115034492318,0.5786316464658733
Base_XLM_RoBERTa,Untrained Base,0.2809462307117123,0.2,0.08773084270855444
