Model,Run,Dev_Accuracy,Dev_Macro_F1,Test_Accuracy,Test_Macro_F1,Test_Macro_Precision,Test_Macro_Recall,Test_F1_Critical Rescue,Test_F1_Resource Requests,Test_F1_Situational Awareness,Test_F1_Volunteering and Donations,Test_F1_Irrelevant
Logistic_Regression,augmented,0.7907191961924908,0.7484946308804883,0.7902250016994086,0.7493483490012414,0.7451645257156397,0.7539412345975529,0.8948093706936151,0.532093023255814,0.7957011051404238,0.8290979164157534,0.6950403295006007
Linear_SVM,augmented,0.7601797990481227,0.7130280656094892,0.7590918360410577,0.7114471011367176,0.7141838627008625,0.7089964260181485,0.8753168932933856,0.4623115577889447,0.7628990162617948,0.8016786570743405,0.6550293812651227
Naive_Bayes,augmented,0.7469592808038075,0.6882686494269532,0.7459044252600096,0.6879513894652087,0.700154406855636,0.6824144801329184,0.7852732677795564,0.42663656884875845,0.7547727033013395,0.7996759634301586,0.6733984439662307
