Model,Run,Dev_Accuracy,Dev_Macro_F1,Test_Accuracy,Test_Macro_F1,Test_Macro_Precision,Test_Macro_Recall,Test_F1_Critical Rescue,Test_F1_Resource Requests,Test_F1_Situational Awareness,Test_F1_Volunteering and Donations,Test_F1_Irrelevant
Logistic_Regression,real_only,0.7916446324695928,0.7529951183382888,0.7886615457820678,0.7480085231954405,0.7399526863437561,0.7580913421004385,0.8936854190585534,0.5293602103418055,0.7946764197907142,0.8291797725623035,0.6931407942238267
Linear_SVM,real_only,0.7584611316763618,0.709654762590554,0.7586839779756644,0.7086227410336452,0.71220173709722,0.7055792652525587,0.873012214796036,0.45010183299389,0.7627204030226701,0.8034861509073543,0.6537931034482759
Naive_Bayes,real_only,0.7428609201480698,0.6918559578616535,0.7396506015906464,0.6904524228824781,0.6795203683507306,0.7076954177631529,0.78461890592813,0.4505672609400324,0.7521729913080347,0.7914095870906502,0.673493369145543
